Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
Justin Jefferson,MIN,WR,25,17,17,1,1,22,0,0,1,3,3.00,0,154,103,1533,14.88,10,1,0,10,0,0,214,317.5,320.5,266.0,80,2,12,2024
Baker Mayfield,TAM,QB,29,17,17,407,570,4500,41,16,60,378,6.30,3,0,0,0,0,0,13,2,3,0,1,366,365.8,389.8,381.8,79,4,13,2024
Jonathan Taylor,IND,RB,25,14,13,0,0,0,0,0,303,1431,4.72,11,31,18,136,7.56,1,4,1,12,0,0,227,244.7,251.7,235.7,74,8,14,2024
George Kittle,SFO,TE,31,15,15,0,0,0,0,0,0,0,0,0,94,78,1106,14.18,8,0,0,8,0,0,159,236.6,239.6,197.6,70,1,15,2024
Jayden Daniels,WAS,QB,24,17,17,331,480,3568,25,9,148,891,6.02,6,0,0,0,0,0,5,0,6,1,2,356,355.8,370.8,364.8,69,5,16,2024
De'Von Achane,MIA,RB,23,17,16,0,0,0,0,0,203,907,4.47,6,87,78,592,7.59,6,1,0,12,0,0,222,299.9,305.9,260.9,69,9,17,2024
Amon-Ra St. Brown,DET,WR,25,17,17,1,1,7,1,0,2,6,3.00,0,141,115,1263,10.98,12,1,1,12,0,0,201,316.2,320.2,258.7,67,3,18,2024
Brian Thomas,JAX,WR,22,17,16,0,0,0,0,0,6,48,8.00,0,133,87,1282,14.74,10,0,0,10,2,0,197,284.0,287.0,240.5,63,4,19,2024
Brock Bowers,LVR,TE,22,17,16,0,0,0,0,0,5,13,2.60,0,153,112,1194,10.66,5,0,0,5,0,0,151,262.7,265.7,206.7,63,2,20,2024
James Conner,ARI,RB,29,16,16,0,0,0,0,0,236,1094,4.64,8,55,47,414,8.81,1,4,1,9,2,0,207,253.8,260.8,230.3,55,10,21,2024
Joe Mixon,HOU,RB,28,14,14,0,1,0,0,0,245,1016,4.15,11,52,36,309,8.58,1,0,0,12,0,0,205,240.5,246.5,222.5,53,11,22,2024
Terry McLaurin,WAS,WR,29,17,17,0,0,0,0,0,2,2,1.00,0,117,82,1096,13.37,13,1,1,13,0,0,186,267.8,271.8,226.8,53,5,23,2024
Trey McBride,ARI,TE,25,16,16,0,0,0,0,0,1,2,2.00,1,147,111,1146,10.32,2,0,0,4,0,0,139,249.8,252.8,194.3,51,3,24,2024
Chase Brown,CIN,RB,24,16,10,0,0,0,0,0,229,990,4.32,7,65,54,360,6.67,4,2,1,11,1,0,201,255.0,262.0,228.0,49,12,25,2024
Drake London,ATL,WR,23,17,17,0,0,0,0,0,1,-3,-3.00,0,158,100,1271,12.71,9,0,0,9,0,0,181,280.8,283.8,230.8,48,6,26,2024
Chuba Hubbard,CAR,RB,25,15,15,0,0,0,0,0,250,1195,4.78,10,54,43,171,3.98,1,4,3,11,1,0,199,241.6,250.6,220.1,47,13,27,2024
Jonnu Smith,MIA,TE,29,17,6,0,0,0,0,0,2,-1,-0.50,0,111,88,884,10.05,8,2,1,8,0,0,134,222.3,226.3,178.3,47,4,28,2024
Mark Andrews,BAL,TE,29,17,13,0,0,0,0,0,4,5,1.25,0,69,55,673,12.24,11,0,0,11,0,0,134,188.8,191.8,161.3,47,5,29,2024
Bucky Irving,TAM,RB,22,17,3,0,0,0,0,0,207,1122,5.42,8,52,47,392,8.34,0,2,1,8,0,0,197,244.4,251.4,220.9,46,14,30,2024
Alvin Kamara,NOR,RB,29,14,14,0,0,0,0,0,228,950,4.17,6,89,68,543,7.99,2,1,0,8,0,0,197,265.3,271.3,231.3,46,15,31,2024
Aaron Jones,MIN,RB,30,17,17,0,0,0,0,0,255,1138,4.46,5,62,51,408,8.00,2,5,3,7,0,0,191,241.6,250.6,216.1,40,16,32,2024
Jared Goff,DET,QB,30,17,17,390,539,4629,37,12,35,56,1.60,0,1,1,7,7.00,1,6,0,1,0,1,323,324.5,339.5,336.0,39,6,33,2024
David Montgomery,DET,RB,27,14,14,1,1,3,1,0,185,775,4.19,12,38,36,341,9.47,0,2,1,12,0,0,186,221.7,228.7,203.7,35,17,34,2024
Mike Evans,TAM,WR,31,14,14,0,0,0,0,0,0,0,0,0,110,74,1004,13.57,11,0,0,11,0,0,166,240.4,243.4,203.4,35,7,35,2024
Breece Hall,NYJ,RB,23,16,16,0,0,0,0,0,209,876,4.19,5,76,57,483,8.47,3,6,2,8,2,0,184,240.9,248.9,212.4,33,18,36,2024
Malik Nabers,NYG,WR,21,15,13,0,1,0,0,0,5,2,0.40,0,170,109,1204,11.05,7,1,0,7,1,0,165,273.6,276.6,219.1,33,8,37,2024
Bo Nix,DEN,QB,24,17,17,376,567,3775,29,12,92,430,4.67,4,1,1,2,2.00,1,3,0,5,0,0,316,317.2,335.2,328.7,32,7,38,2024
Jalen Hurts,PHI,QB,26,15,15,248,361,2903,18,5,150,630,4.20,14,0,0,0,0,0,9,5,14,0,0,315,315.1,331.1,320.1,31,8,39,2024
CeeDee Lamb,DAL,WR,25,15,15,0,0,0,0,0,14,70,5.00,0,152,101,1194,11.82,6,1,1,6,1,0,162,263.4,267.4,212.9,31,9,40,2024
Sam LaPorta,DET,TE,23,16,16,0,0,0,0,0,0,0,0,0,83,60,726,12.10,7,0,0,7,0,0,115,174.6,177.6,144.6,29,6,41,2024
Courtland Sutton,DEN,WR,29,17,13,2,2,30,1,0,0,0,0,0,135,81,1081,13.35,8,1,1,8,0,0,159,240.3,244.3,199.8,28,10,42,2024
Ladd McConkey,LAC,WR,23,16,14,0,0,0,0,0,0,0,0,0,112,82,1149,14.01,7,2,0,7,1,0,159,240.9,243.9,199.9,28,11,43,2024
Tucker Kraft,GNB,TE,24,17,17,0,0,0,0,0,3,6,2.00,0,70,50,707,14.14,7,1,1,7,1,0,113,163.3,167.3,138.3,27,7,44,2024
Zach Ertz,WAS,TE,34,17,17,0,0,0,0,0,0,0,0,0,91,66,654,9.91,7,1,0,7,2,0,111,177.4,180.4,144.4,26,8,45,2024
Davante Adams,2TM,WR,32,14,14,0,0,0,0,0,0,0,0,0,141,85,1063,12.51,8,0,0,8,1,0,156,241.3,244.3,198.8,25,12,46,2024
Sam Darnold,MIN,QB,27,17,17,361,545,4319,35,12,67,212,3.16,1,0,0,0,0,0,8,4,1,0,0,308,308.0,330.0,320.0,24,9,47,2024
Jameson Williams,DET,WR,23,15,11,0,0,0,0,0,11,61,5.55,1,91,58,1001,17.26,7,0,0,8,0,0,154,212.2,215.2,183.2,23,13,48,2024
D'Andre Swift,CHI,RB,25,17,17,0,0,0,0,0,253,959,3.79,6,52,42,386,9.19,0,2,0,6,1,0,173,214.5,220.5,193.5,22,19,49,2024
Jaxon Smith-Njigba,SEA,WR,22,17,16,1,1,35,0,0,5,26,5.20,0,137,100,1130,11.30,6,1,0,6,0,0,153,253.0,256.0,203.0,22,14,50,2024
Jerry Jeudy,CLE,WR,25,17,16,0,0,0,0,0,0,0,0,0,145,90,1229,13.66,4,0,0,4,2,0,151,240.9,243.9,195.9,20,15,51,2024
Garrett Wilson,NYJ,WR,24,17,17,0,0,0,0,0,2,5,2.50,0,154,101,1104,10.93,7,2,2,7,1,0,151,251.9,256.9,201.4,20,16,52,2024
Najee Harris,PIT,RB,26,17,17,0,0,0,0,0,263,1043,3.97,6,48,36,283,7.86,0,0,0,6,0,0,169,204.6,210.6,186.6,19,20,53,2024
Jordan Addison,MIN,WR,22,15,15,0,0,0,0,0,3,20,6.67,1,99,63,875,13.89,9,0,0,10,0,0,150,212.5,215.5,181.0,19,18,54,2024
A.J. Brown,PHI,WR,27,13,13,0,0,0,0,0,0,0,0,0,97,67,1079,16.10,7,0,0,7,0,0,150,216.9,219.9,183.4,19,17,55,2024
Tee Higgins,CIN,WR,25,12,9,0,0,0,0,0,0,0,0,0,109,73,911,12.48,10,1,1,10,0,0,149,222.1,226.1,185.6,18,19,56,2024
Pat Freiermuth,PIT,TE,26,17,11,0,0,0,0,0,0,0,0,0,78,65,653,10.05,7,3,2,7,0,0,103,168.3,173.3,135.8,18,9,57,2024
Kyler Murray,ARI,QB,27,17,17,372,541,3851,21,11,78,572,7.33,5,0,0,0,0,0,8,4,5,1,0,297,297.2,318.2,308.2,14,10,58,2024
Travis Kelce,KAN,TE,35,16,16,0,0,0,0,0,1,1,1.00,0,133,97,823,8.48,3,2,1,3,0,0,98,195.4,199.4,146.9,13,10,59,2024
Nico Collins,HOU,WR,25,12,12,0,0,0,0,0,0,0,0,0,99,68,1006,14.79,7,0,0,7,0,0,143,210.6,213.6,176.6,12,20,60,2024
Jayden Reed,GNB,WR,24,17,10,0,0,0,0,0,20,163,8.15,1,75,55,857,15.58,6,3,1,7,0,0,142,197.0,204.0,169.5,12,21,61,2024
J.K. Dobbins,LAC,RB,26,13,11,0,0,0,0,0,195,905,4.64,9,38,32,153,4.78,0,0,0,9,0,0,160,191.8,197.8,175.8,11,21,62,2024
Tony Pollard,TEN,RB,27,16,16,0,0,0,0,0,260,1079,4.15,5,57,41,238,5.80,0,2,2,5,1,0,160,200.7,208.7,180.2,10,22,63,2024
Rico Dowdle,DAL,RB,26,16,15,0,0,0,0,0,235,1079,4.59,2,49,39,249,6.38,3,3,2,5,0,0,159,197.8,205.8,178.3,10,23,64,2024
D.J. Moore,CHI,WR,27,17,17,0,1,0,0,0,14,75,5.36,0,140,98,966,9.86,6,1,1,6,1,0,140,238.1,242.1,189.1,10,22,65,2024
Tyreek Hill,MIA,WR,30,17,17,0,0,0,0,0,8,53,6.63,0,123,81,959,11.84,6,0,0,6,0,0,137,218.2,221.2,177.7,7,23,66,2024
Zay Flowers,BAL,WR,24,17,15,0,0,0,0,0,9,56,6.22,0,116,74,1059,14.31,4,0,0,4,0,0,136,209.5,212.5,172.5,6,24,67,2024
Marvin Harrison Jr.,ARI,WR,22,17,16,0,0,0,0,0,0,0,0,0,116,62,885,14.27,8,1,1,8,0,0,135,196.5,200.5,165.5,5,26,68,2024
Calvin Ridley,TEN,WR,30,17,14,0,0,0,0,0,8,55,6.88,1,120,64,1017,15.89,4,1,1,5,0,0,135,199.2,203.2,167.2,5,25,69,2024
Jauan Jennings,SFO,WR,27,15,10,0,0,0,0,0,0,0,0,0,113,77,975,12.66,6,1,0,6,0,0,134,210.5,213.5,172.0,4,27,70,2024
Justin Herbert,LAC,QB,26,17,17,332,504,3870,23,3,69,306,4.43,2,0,0,0,0,0,6,2,2,0,3,285,285.4,296.4,288.4,3,11,71,2024
DeVonta Smith,PHI,WR,26,13,13,0,0,0,0,0,1,1,1.00,0,89,68,833,12.25,8,0,0,8,0,0,131,199.4,202.4,165.4,2,28,72,2024
Jakobi Meyers,LVR,WR,28,15,15,0,0,0,0,0,2,23,11.50,0,129,87,1027,11.80,4,0,0,4,1,0,131,218.0,221.0,174.5,1,29,73,2024
Patrick Mahomes,KAN,QB,29,16,16,392,581,3928,26,11,58,307,5.29,2,1,1,2,2.00,0,2,0,2,0,0,282,283.0,300.0,293.5,0,12,74,2024
Brock Purdy,SFO,QB,25,15,15,300,455,3864,20,12,66,323,4.89,5,0,0,0,0,0,7,3,5,0,0,267,266.9,287.9,278.9,0,13,75,2024
Geno Smith,SEA,QB,34,17,17,407,578,4320,21,15,53,272,5.13,2,0,0,0,0,0,9,0,2,0,0,266,266.0,287.0,281.0,0,14,76,2024
Aaron Rodgers,NYJ,QB,41,17,17,368,584,3897,28,11,22,107,4.86,0,0,0,0,0,0,5,2,0,0,2,257,256.6,275.6,267.6,0,15,77,2024
Caleb Williams,CHI,QB,23,17,17,351,562,3541,20,6,81,489,6.04,0,0,0,0,0,0,10,5,0,0,3,255,254.5,271.5,260.5,0,16,78,2024
Jordan Love,GNB,QB,26,15,15,268,425,3389,25,11,25,83,3.32,1,0,0,0,0,0,4,0,1,0,3,234,233.9,247.9,244.9,0,17,,2024
C.J. Stroud,HOU,QB,23,17,17,336,532,3727,20,12,52,233,4.48,0,1,0,0,0,0,6,4,0,0,0,220,220.4,242.4,232.4,0,18,,2024
Matthew Stafford,LAR,QB,36,16,16,340,517,3762,20,8,30,41,1.37,0,0,0,0,0,0,6,2,0,0,0,215,214.6,227.6,222.6,0,19,,2024
Bryce Young,CAR,QB,23,14,12,234,384,2403,15,9,43,249,5.79,6,0,0,0,0,0,5,2,6,0,0,195,195.0,212.0,204.0,0,20,,2024
Tua Tagovailoa,MIA,QB,26,11,11,291,399,2867,19,7,17,49,2.88,0,0,0,0,0,0,7,2,0,0,2,182,181.6,193.6,188.6,0,21,,2024
Drake Maye,NWE,QB,22,13,12,225,338,2276,15,10,54,421,7.80,2,0,0,0,0,0,9,6,2,0,2,177,177.1,199.1,187.1,0,22,,2024
Kirk Cousins,ATL,QB,36,14,14,303,453,3508,18,16,23,0,0.00,0,0,0,0,0,0,13,2,0,0,0,176,176.3,197.3,192.3,0,23,,2024
Russell Wilson,PIT,QB,36,11,11,214,336,2482,16,5,43,155,3.60,2,0,0,0,0,0,5,4,2,0,0,173,172.8,187.8,177.8,0,24,,2024
Anthony Richardson,IND,QB,22,11,11,126,264,1814,8,12,86,499,5.80,6,1,1,-1,-1.00,0,9,3,6,1,0,162,163.4,184.4,174.9,0,25,,2024
Derek Carr,NOR,QB,33,10,10,189,279,2145,15,5,17,71,4.18,1,0,0,0,0,0,3,0,1,0,1,151,150.9,158.9,155.9,0,26,,2024
Rachaad White,TAM,RB,25,16,15,0,0,0,0,0,144,613,4.26,3,57,51,393,7.71,6,3,3,9,0,0,149,199.6,208.6,174.1,0,24,,2024
Zach Charbonnet,SEA,RB,23,17,6,0,0,0,0,0,135,569,4.21,8,52,42,340,8.10,1,0,0,9,0,0,145,186.9,192.9,165.9,0,25,,2024
Trevor Lawrence,JAX,QB,25,10,10,172,284,2045,11,7,26,119,4.58,3,0,0,-5,0,0,3,1,3,0,3,145,145.2,159.2,152.2,0,27,,2024
Tyrone Tracy Jr.,NYG,RB,25,17,12,0,0,0,0,0,192,839,4.37,5,53,38,284,7.47,1,5,2,6,0,0,144,182.3,190.3,163.3,0,26,,2024
Rhamondre Stevenson,NWE,RB,26,15,14,0,0,0,0,0,207,801,3.87,7,41,33,168,5.09,1,7,3,8,2,0,143,175.9,184.9,159.4,0,27,,2024
Brian Robinson Jr.,WAS,RB,25,14,13,0,0,0,0,0,187,799,4.27,8,25,20,159,7.95,0,2,2,8,0,0,140,159.8,167.8,149.8,0,28,,2024
Daniel Jones,NYG,QB,27,10,10,216,341,2070,8,7,67,265,3.96,2,0,0,0,0,0,4,2,2,0,0,135,135.3,150.3,142.3,0,28,,2024
Kenneth Walker III,SEA,RB,24,11,11,0,0,0,0,0,153,573,3.75,7,53,46,299,6.50,1,1,0,8,0,0,135,181.2,187.2,158.2,0,29,,2024
Kareem Hunt,KAN,RB,29,13,8,0,0,0,0,0,200,728,3.64,7,32,23,176,7.65,0,0,0,7,0,0,132,155.4,161.4,143.9,0,30,,2024
Jameis Winston,CLE,QB,30,12,7,181,296,2121,13,12,25,83,3.32,1,0,0,0,0,0,5,2,1,0,4,131,131.1,148.1,143.1,0,29,,2024
Rashod Bateman,BAL,WR,25,17,14,0,0,0,0,0,0,0,0,0,72,45,756,16.80,9,0,0,9,0,0,130,174.6,177.6,152.1,0,30,,2024
Darnell Mooney,ATL,WR,27,16,16,0,1,0,0,0,0,0,0,0,106,64,992,15.50,5,0,0,5,0,0,129,193.2,196.2,161.2,0,31,,2024
Puka Nacua,LAR,WR,23,11,11,0,0,0,0,0,11,46,4.18,1,106,79,990,12.53,3,0,0,4,0,0,128,206.6,209.6,167.1,0,33,,2024
Xavier Worthy,KAN,WR,21,17,13,0,0,0,0,0,20,104,5.20,3,98,59,638,10.81,6,0,0,9,0,0,128,187.2,193.2,157.7,0,32,,2024
D.K. Metcalf,SEA,WR,27,15,12,0,0,0,0,0,0,0,0,0,108,66,992,15.03,5,2,2,5,0,0,125,191.2,196.2,158.2,0,34,,2024
Alec Pierce,IND,WR,24,16,13,0,0,0,0,0,0,0,0,0,69,37,824,22.27,7,0,0,7,0,0,124,161.4,164.4,142.9,0,35,,2024
Tank Bigsby,JAX,RB,23,16,1,0,0,0,0,0,168,766,4.56,7,12,7,54,7.71,0,4,1,7,0,0,122,129.0,133.0,125.5,0,31,,2024
Quentin Johnston,LAC,WR,23,15,11,0,0,0,0,0,3,6,2.00,0,91,55,711,12.93,8,0,0,8,0,0,120,174.7,177.7,147.2,0,36,,2024
Will Levis,TEN,QB,25,12,12,190,301,2091,13,12,45,183,4.07,0,0,0,0,0,0,10,6,0,0,1,120,119.9,143.9,131.9,0,30,,2024
Justin Fields,PIT,QB,25,10,6,106,161,1106,5,1,62,289,4.66,5,0,0,0,0,0,6,1,5,0,0,119,119.1,127.1,120.1,0,31,,2024
Dak Prescott,DAL,QB,31,8,8,185,286,1978,11,8,13,54,4.15,1,0,0,0,0,0,4,1,1,0,0,117,116.5,128.5,124.5,0,32,,2024
Keenan Allen,CHI,WR,32,15,15,0,1,0,0,1,0,0,0,0,121,70,744,10.63,7,1,0,7,0,0,114,184.4,188.4,150.4,0,37,,2024
Josh Downs,IND,WR,23,14,8,0,0,0,0,0,1,12,12.00,0,107,72,803,11.15,5,0,0,5,0,0,112,183.5,186.5,147.5,0,38,,2024
Cooper Rush,DAL,QB,31,12,8,187,308,1844,12,5,26,18,0.69,0,0,0,0,0,0,9,3,0,0,1,110,109.6,120.6,114.6,0,33,,2024
Cooper Kupp,LAR,WR,31,12,11,0,0,0,0,0,2,10,5.00,0,100,67,710,10.60,6,1,0,6,0,0,108,175.0,178.0,141.5,0,39,,2024
Khalil Shakir,BUF,WR,24,15,9,0,0,0,0,0,2,4,2.00,0,100,76,821,10.80,4,1,0,4,0,0,107,182.5,185.5,144.5,0,40,,2024
Javonte Williams,DEN,RB,24,17,11,0,0,0,0,0,139,513,3.69,4,70,52,346,6.65,0,2,2,4,0,0,106,157.9,165.9,131.9,0,32,,2024
George Pickens,PIT,WR,23,14,12,0,0,0,0,0,2,-6,-3.00,0,103,59,900,15.25,3,1,1,3,0,0,105,164.4,168.4,134.9,0,41,,2024
Jordan Mason,SFO,RB,25,12,6,0,0,0,0,0,153,789,5.16,3,14,11,91,8.27,0,3,1,3,0,0,104,115.0,119.0,109.5,0,33,,2024
Nick Westbrook-Ikhine,TEN,WR,27,17,9,0,0,0,0,0,0,0,0,0,60,32,497,15.53,9,0,0,9,0,0,104,135.7,138.7,119.7,0,42,,2024
Deebo Samuel,SFO,WR,28,15,15,0,0,0,0,0,42,136,3.24,1,81,51,670,13.14,3,2,1,4,0,0,103,153.6,160.6,128.1,0,44,,2024
Jalen Tolbert,DAL,WR,25,17,15,0,0,0,0,0,0,0,0,0,79,49,610,12.45,7,0,0,7,0,0,103,152.0,155.0,127.5,0,43,,2024
Alexander Mattison,LVR,RB,26,14,7,0,0,0,0,0,132,420,3.18,4,48,36,294,8.17,1,1,1,5,1,0,101,137.4,144.4,119.4,0,34,,2024
Ray Davis,BUF,RB,25,17,0,0,0,0,0,0,113,442,3.91,3,19,17,189,11.12,3,0,0,6,0,0,99,116.1,122.1,107.6,0,35,,2024
Joe Flacco,IND,QB,39,8,6,162,248,1761,12,7,9,26,2.89,0,0,0,0,0,0,4,4,0,0,0,99,99.0,113.0,106.0,0,34,,2024
Jalen McMillan,TAM,WR,23,13,12,0,0,0,0,0,4,43,10.75,0,58,37,461,12.46,8,0,0,8,0,0,98,135.4,138.4,116.9,0,45,,2024
Austin Ekeler,WAS,RB,29,12,6,0,0,0,0,0,77,367,4.77,4,41,35,366,10.46,0,3,0,4,0,0,97,132.3,138.3,114.8,0,36,,2024
Jerome Ford,CLE,RB,25,14,6,0,0,0,0,0,104,565,5.43,3,43,37,225,6.08,0,0,0,3,0,0,97,134.0,140.0,115.5,0,37,,2024
Michael Pittman Jr.,IND,WR,27,16,14,0,0,0,0,0,0,0,0,0,111,69,808,11.71,3,1,1,3,0,0,97,165.8,169.8,131.3,0,46,,2024
Mac Jones,JAX,QB,26,10,7,171,262,1672,8,8,28,92,3.29,1,0,0,0,0,0,2,2,1,0,1,96,96.1,109.1,104.1,0,36,,2024
Gardner Minshew II,LVR,QB,28,10,9,203,306,2013,9,10,19,58,3.05,0,0,0,0,0,0,6,4,0,0,1,96,96.3,113.3,106.3,0,35,,2024
Mason Rudolph,TEN,QB,29,8,5,146,228,1530,9,9,25,106,4.24,1,0,0,0,0,0,5,1,1,0,1,96,95.8,111.8,104.8,0,37,,2024
Tyler Allgeier,ATL,RB,24,17,0,0,0,0,0,0,137,644,4.70,3,13,13,88,6.77,0,0,0,3,1,0,93,106.2,109.2,99.7,0,38,,2024
Aidan O'Connell,LVR,QB,26,9,7,154,243,1612,8,4,21,30,1.43,1,0,0,0,0,0,2,2,1,0,0,93,93.5,102.5,97.5,0,38,,2024
Demarcus Robinson,LAR,WR,30,17,17,0,0,0,0,0,0,0,0,0,64,31,505,16.29,7,0,0,7,0,0,93,123.5,126.5,108.0,0,47,,2024
Adam Thielen,CAR,WR,34,10,10,0,0,0,0,0,0,0,0,0,62,48,615,12.81,5,0,0,5,0,0,92,139.5,142.5,115.5,0,49,,2024
Jaylen Waddle,MIA,WR,26,15,15,0,0,0,0,0,4,12,3.00,0,83,58,744,12.83,2,0,0,2,2,0,92,149.6,152.6,120.6,0,48,,2024
Travis Etienne,JAX,RB,25,15,15,0,0,0,0,0,150,558,3.72,2,52,39,254,6.51,0,1,1,2,0,0,91,130.2,137.2,110.7,0,39,,2024
DeAndre Hopkins,2TM,WR,32,16,8,0,0,0,0,0,0,0,0,0,80,56,610,10.89,5,1,0,5,0,0,91,147.0,150.0,119.0,0,50,,2024
Marvin Mims,DEN,WR,22,17,2,0,0,0,0,0,13,42,3.23,0,52,39,503,12.90,6,1,0,6,0,0,91,129.5,132.5,110.0,0,52,,2024
Rome Odunze,CHI,WR,22,17,12,0,0,0,0,0,3,15,5.00,0,101,54,734,13.59,3,2,1,3,0,0,91,144.9,148.9,117.9,0,51,,2024
Wan'Dale Robinson,NYG,WR,23,17,7,0,0,0,0,0,3,18,6.00,0,140,93,699,7.52,3,0,0,3,0,0,90,182.7,185.7,136.2,0,53,,2024
Tank Dell,HOU,WR,25,14,10,0,0,0,0,0,9,43,4.78,0,81,51,667,13.08,3,0,0,3,0,0,89,140.0,143.0,114.5,0,54,,2024
Allen Lazard,NYJ,WR,29,12,10,0,1,0,0,0,0,0,0,0,60,37,530,14.32,6,0,0,6,0,0,89,126.0,129.0,107.5,0,55,,2024
Chris Godwin,TAM,WR,28,7,7,0,0,0,0,0,1,2,2.00,0,62,50,576,11.52,5,1,0,5,0,0,88,137.8,140.8,112.8,0,56,,2024
Romeo Doubs,GNB,WR,24,13,12,0,0,0,0,0,0,0,0,0,72,46,601,13.07,4,0,0,4,1,0,86,132.1,135.1,109.1,0,57,,2024
Jaylen Warren,PIT,RB,26,15,0,0,0,0,0,0,120,511,4.26,1,47,38,310,8.16,0,2,1,1,0,0,86,124.1,131.1,105.1,0,40,,2024
Ameer Abdullah,LVR,RB,31,16,3,0,0,0,0,0,66,311,4.71,2,47,40,261,6.53,3,2,1,5,0,0,85,125.2,132.2,105.2,0,41,,2024
Justice Hill,BAL,RB,27,15,0,0,0,0,0,0,47,228,4.85,1,51,42,383,9.12,3,0,0,4,0,0,85,127.1,133.1,106.1,0,42,,2024
David Njoku,CLE,TE,28,11,11,0,0,0,0,0,0,0,0,0,97,64,505,7.89,5,0,0,5,2,0,85,148.5,151.5,116.5,0,11,,2024
Emanuel Wilson,GNB,RB,25,17,0,0,0,0,0,0,103,502,4.87,4,14,11,48,4.36,1,0,0,5,0,0,85,96.0,99.0,90.5,0,43,,2024
Andrei Iosivas,CIN,WR,25,17,8,0,0,0,0,0,0,0,0,0,61,36,479,13.31,6,0,0,6,0,0,84,119.9,122.9,101.9,0,58,,2024
Kyle Pitts,ATL,TE,24,17,15,0,0,0,0,0,0,0,0,0,74,47,602,12.81,4,0,0,4,0,0,84,131.2,134.2,107.7,0,12,,2024
Tyjae Spears,TEN,RB,23,12,1,0,0,0,0,0,84,312,3.71,4,35,30,224,7.47,1,1,0,5,0,0,84,113.6,119.6,98.6,0,44,,2024
Calvin Austin III,PIT,WR,25,17,8,0,0,0,0,0,0,0,0,0,58,36,548,15.22,4,1,1,5,0,0,83,118.8,122.8,100.8,0,59,,2024
Keon Coleman,BUF,WR,21,13,12,0,0,0,0,0,1,9,9.00,0,57,29,556,19.17,4,0,0,4,1,0,83,111.5,114.5,97.0,0,60,,2024
Demario Douglas,NWE,WR,24,17,7,0,0,0,0,0,3,16,5.33,0,87,66,621,9.41,3,1,0,3,0,0,82,147.7,150.7,114.7,0,62,,2024
Isaiah Likely,BAL,TE,24,16,9,0,0,0,0,0,0,0,0,0,58,42,477,11.36,6,1,1,6,0,0,82,123.7,127.7,102.7,0,13,,2024
Cade Otton,TAM,TE,25,14,14,0,0,0,0,0,1,-4,-4.00,0,87,59,600,10.17,4,2,1,4,0,0,82,140.6,144.6,111.1,0,14,,2024
Tre Tucker,LVR,WR,23,17,14,0,0,0,0,0,9,44,4.89,1,81,47,539,11.47,3,0,0,4,0,0,82,129.3,132.3,105.8,0,61,,2024
Antonio Gibson,NWE,RB,26,17,3,0,0,0,0,0,120,538,4.48,1,29,23,206,8.96,0,2,0,1,0,0,80,103.4,109.4,91.9,0,45,,2024
Drew Lock,NYG,QB,28,8,5,107,181,1071,6,5,18,133,7.39,2,0,0,0,0,0,5,2,2,0,1,80,80.1,93.1,85.1,0,39,,2024
